%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821700339796981,832,1635821700339658021,,31.5275497437,2.89338207245
1635821700344769590,833,1635821700344187974,,-8.94048976898,2.6291179657
1635821700348744341,834,1635821700348282098,,-20.5660591125,-4.08124780655
1635821700353121228,835,1635821700352494955,,7.21601009369,-2.83814406395
1635821700356902640,836,1635821700356333971,,-7.42377996445,0.362646013498
1635821700360759854,837,1635821700360213041,,22.9178600311,-1.35929203033
1635821700364942372,838,1635821700364275932,,1.1075899601,0.650323987007
1635821700368995936,839,1635821700368314981,,-1.16364002228,4.53080797195
1635821700372798891,840,1635821700372291088,,-30.3060302734,-2.97359991074
1635821700376778691,841,1635821700376234054,,7.83674001694,0.0785040035844
1635821700380804622,842,1635821700380229949,,11.2115001678,-2.26276803017
